X,Y,Price per sqm
27.5676,53.8785,28.23899371
27.5695,53.8787,20.50228311
27.4754,53.8743,23.02564103
27.5084,53.8819,19.22912206
27.5235,53.8895,23.4464752
27.476258,53.846797,19.52173913
27.5196,53.8892,19.56427015
27.5434,53.898,26.25730994
27.488805,53.869504,19.95555556
27.5393,53.9042,28.23899371
27.4845,53.854,20.88372093
27.5555,53.8711,23.02564103
27.5519,53.8828,23.63157895
27.6762,53.9143,19.52173913
27.6343,53.9102,20.17977528
27.7089,53.9424,19.43722944
27.7035,53.9461,21.17924528
27.7035,53.9461,19.95555556
27.6073,53.924,26.80597015
27.6887,53.9452,20
27.6887,53.9452,19.95555556
27.6887,53.9452,21.69082126
27.6887,53.9452,21.12941176
27.6887,53.9452,20.17977528
27.650828,53.935055,24.27027027
27.6017,53.9219,28.87459807
27.7075,53.9468,20.98130841
27.6805,53.9405,23.63157895
27.593128,53.937393,17.96
27.5853,53.9391,17.13740458
27.5836,53.9124,25.65714286
27.5961,53.9286,25.73065903
27.6085,53.9522,18.06841046
27.5769,53.9146,28.0625
27.5627,53.9181,25.01392758
27.5925,53.9103,19.86725664
27.5925,53.9103,15.48275862
27.584316,53.909816,28.96774194
27.5059,53.9017,20.59633028
27.462,53.9031,25.65714286
27.4604,53.8753,22.61964736
27.4463,53.8777,21.12941176
27.4298,53.8996,22.00980392
27.477857,53.899721,19.86725664
27.4892,53.911,29.93333333
27.5167,53.91,19.77973568
27.4624,53.8961,21.12941176
27.5342,53.9113,24.27027027
27.4739,53.933,20.64367816
27.4593,53.9357,25.15406162
27.5642,53.9107,26.41176471
27.5325,53.9126,23.5078534
27.534388,53.913555,20.88372093
27.4657,53.9413,19.95555556
27.5261,53.9124,22.1182266
27.5504,53.93,22.00980392
27.5249,53.9135,21.84914842
23.6931,52.0892,19.95555556
27.6675,53.9592,24.31578947
27.5207,53.8882,21.14416476
27.475,53.8441,22.87128713
27.4754,53.847,16.70886076
27.4808,53.8503,24.37994723
27.6057,53.9277,22
27.5654,53.9195,27.8313253
27.4808,53.9049,19.57627119
27.4614,53.9057,22.64705882
27.6649,53.9612,37.21568627
27.6728,53.962,24.97368421
27.5196,53.8892,21.61731207
27.4808,53.8503,25.03957784
27.5451,53.8776,19.97894737
27.5805,53.9089,26.59008126
27.6074,53.9268,14.78193146
27.6552,53.9316,21.96759259
27.5971,53.9424,20.02109705
27.5908,53.9239,28.75757576
27.5908,53.9239,28.8449848
27.428,53.9153,22.1728972
